0,1,2,3,4,5,6,7,8,9
6 . 72,0 . 015,,,0 . 024,0 . 002 3 (A),,A,+,B
5 . 88,0 . 020,,,0 . 033,0 . 0030,,,B,
2 . 40,0 . 01 6,,,"0 , 026",0 . 0023,,,"""",
"0 , 4 9",0 . 020,,,"0 , 033",0 . 0028,,,"""",
"0 , 0088",0 . 0148,0 . 0012,0 . 0001,0 . 02 2 7,0 . 0020,,,"""",
0 . 0098,0 . 0163,0 . 0011,0 . 0001,0 . 0253,0 . 0021,,,I I,
"0 , 0185",0 . 03 7 5,0 . 011 3,0 . 0012,0 . 04 78,0 . 0041,,,"""",
"0 , 02 5",0 . 058,0 . 0248,0 . 0026,0 . 0646,0 . 0056,,,I I,
"0 , 14 9",0 . 388,0 . 2 10,0 . 0216,0 . 385,0 . 0334,,,"""",
"0 , 167",0 . 414,0 . 207,0 . 0212,0 . 4 32,0 . 03 75,,,I I,
0 . 1 74,0.45 2,0 . 240,0 . 0250,0 . 450,0 . 0399,,,I,
0 . 2 285,0 . 635,0 . 37 7,0 . 038 9,0 . 590,0 . 0515,,,,
0 . 266,0 . 785,0 . 502,0 . 0519,0 . 68 7,0 . 0601,,,,
"0 , 2 70",0 . 80,0 . 513,0 . 0531,0 . 698,0 . 0610,,,,
"0 , 330",0 . 96,0 . 603,0 . 0626,0 . 8 63,0 . 074 7,,,,
"0 , 403",1 . 355,0 . 989,0 . 1031,1 . 04,0 . 0928,,,,
0 . 520,1 . 88,1 . 4 6,0 . 153,1 . 34,0 . 119,,,,
o .  7 40,2 . 74,2 . 1 7,0 . 230,1 . 91,0 . 1 7 2,,,,
2 . 55,11 . 03,9 . 65,1 . 18,6 . 59,0 . 6 7 9,,,,
"3 , 90",1 7.2,15 . 3,2 . O!l,1 0 . 1,1 . 165,,,,
4 . 58,2 0 . 2 6,18 . 0,2 . 61,1 1 . 8,1 . 46,,,,
"4 , 9 7",2 2 . 16,1 9 . 7,2 . 99,12 . 8,1 . 64,,,,
5 . 4 2,24 . 30,21 . 7,3 . 44,14 . 0,1 . 88,,,,
6 . 88,31 . 1 3,28 . 0,5 . 2 6,1 7 . 7,2 . 82,,,,
7 . 55,34 . 4 3,31 . 0,6 . 40,19 . 5,3 . 4 1,,,,
8 . 30  a,38 . 0 a,34 . 2,7 . 92,2 1 . 4,4 . 1 9  (B ),,B,+,C
8 . 19,37 . 95,34 . 5,7 . 94,2 1 . 2,4 . 12,,,C,
8 . 08,38 . 1 0,34 . 9,8 . 07,2 0 . 9,4 . 08,,,"""",
7 . 68,38 . 20,35 . 9,8 . 30,19 . 8,3 . 88,,,I I,
7 . 54,38 . 4 5,36 . 6,a . so,19 . 5,3 . 83,,,"""",
7 . 18,38 . 85,3 7 . 9,8 . 90,18 . 6,3 . 68,,,"""",
4 . 6 2,4 7 . 5,55 . 5,1 7.6,11 . 9,2 . 86,,,I I,
3 . 2 1,53 . 05,"66 , 2",2 6 . 5,8 . 30,2 . 81,,,I I,
2 . 74,55 . 65,70 . 4,32 . 8,7 . 60,2 . 80,,,I I,
2 . 2 2,58 . 8,76 . 3,43 . 4,5 . 74,2 .  7 6  (C ),,,I I,
