0,1,2,3,4,5,6,7,8,9,10,11,12,13
mass  %,mass %,,mas s  %,mol/kg H 2,,o,,mas s %,,mol /kg H 2,o,,phase
7 . 05,0 . 017,,----,----,,,,0 . 027 7,,0 . 0026 (D),,,A + B
0 . 07 7,"0 , 016",,----,----,,,,0 . 0261,,0 . 0023,,,B
0 . 0134,0 . 021,,----,----,,,,0 . 0343,,0 . 0030,,,I I
0 . 0165,0 . 02 72,,0 . 00152,0 . 00015,,,,0 . 0426,,0 . 0037,,,I I
"0 , 019 7",0 . 034 5,,"0 , 0045 6",0 . 00047,,,,0 . 0509,,0 . 0044,,,II
0 . 0203,"0 , 0360",,0 . 00538,0 . 00054,,,,0 . 0524,,0 . 0045,,,I I
"0 , 050",0.116,,0 . 0508,0 . 00521,,,,0 . 129,,0 . 0111,,,I I
0. 096,0. 24 2,,0 . 1 23,0 . 012 6,,,,0 . 249,,0 . 0216,,,I I
0 . 118,0 . 305,,0 . 1 63,0 . 0167,,,,0 . 305,,0 . 0264,,,I I
0 . 150,0 . 409,,0 . 236,0 .0243,,,,0 . 388,,0 . 0337,,,t i
0 . 205,0 . 620,,0 . 407,0 . 042 0,,,,0 . 530,,0 . 0461,,,t i
0. 262,0 . 875,,0 . 635,0 . 0657,,,,0 . 6 77,,0 . 05 9 3,,,t i
5 . 7 3,27 . 5,,25 . 4,4 . 34,,,,14 .8,,2 . 14,,,t i
"7 , 63","3 7 , 1",,"34 , 5","7 , 70",,,,19 . 7,,3 . 7 2,,,t i
7 . 95,"38 , 8",,3 6 . 2,8 . 53,,,,"20 , 5",,4 . 10,,,I I
8 . 4 5,41.6,,38 . 9,10 . 14,,,,21 . 8,,4 . 81 (E ),,,B + C
"7 , 73",41 .  7,,40 . 7,10 . 55,,,,20 . 0,,4 . 38,,,C
6 . 62,4 3 . 5,,4 5 . 5,12 . 4,,,,17 . 1,,3 . 96,,,t i
