Column_A,Column_B,Column_C,Column_D,Column_E,Column_F,Column_G,Column_H,Column_I,Column_J
1.5,30.2,2.77,362.5 ±,,0.1,L 2380.0  ±,,0.5,1.5
1.5,39.8,4.23,365.0 ±,,0.5,LX 380.5  ±,,0.5,1.5
1.5,45/,5.28,3725 ±,,0.5,L13800 ±,,0.5,1.5
1.5,49,6.15,380d,,,L1380d,,,1.5
1.5,50.3,6.48,e,,,e1e,,,e
262626.0,10.32056a. °,0.661.447.31,362.4  ± 377360a° ±,,0.40.2,112 L 375.9  ± 2376a8377  ±,,0.20.5,111
,,,,,,l,,,
2.12,4.73,0.28,369.4 ±,,0.2,1377.3  ±,,0.2,2
2.12,9.88,0.61,361.4  ±,,0.5,12378.0  ±,,0.2,2
2.12,16.7,1.12,360.9  ±,,0.2,12379.2  ±,,0.4,2
2.12,30.3,2.42,362.1  ±,,0.2,12378.5 ±,,0.4,2
