0,1,2,3,4,5,6,7,8,9,10,11,12
2210.7028.90,60.40,23.39,,85.14,21.55,920.1,,1.30,4.73,,A,
237.843 6.80,55.36,18.72,,115.86,13.92,742.8,,1.04,6.58,,"""",
247.5438.90,53.56,18.61,,129.42,12.58,675.5,,1.03,7.18,,"""",
"25  7.443 9,41",53.15,18.52,,"132,11",12.30,663.7,,0.96,7.34,A,+,B
"266,983 9.63","53,39",17.30,,132.29,11.56,"668,5",,1.03,7.33,,"""",
"275,6041.06","53,34",13.86,,137.18,9.18,"662,0",,0.77,7.61,,B,
285.1641.48,53.36,12.79,,138.51,8.45,661.0,,0.71,7.69,,"""",
294.5042.28,53.22,11.16,,141.82,7.31,654.7,,0.62,7.86,,"""",
300 46.25,53.75,0,,153.35,0,652.1,,0,8.51,,I I,
aThe concentrat ion un it,is :,mo1/ 1000 mol,,water .,,,,,,,,
bThe concentrat ion unit,is :,mo1/ 100 mo1of,,solute.,,,,,,,,
C These mol/ kg H 0 values,were,calculated,,by the comp iler .,,,,,,,,
d 2,,,,,,,,,,,,
The so 1id phases are :  A,=,Kll/0.4 ; B,=,KN03,,,,,,,,
The phys ica1proper ties,of,the above,solu t ions,,are  g iven,below.,,,,,,
no v iscos ity/cP,d ensity/ g  cm -3,,,r:. /S  cm-l,,,,,,,,
11.722,1.156,,,0.100,,,,,,,,
21.325,1.160,,,0.110,,,,,,,,
31.281,1.169,,,0.115,,,,,,,,
41.285,1.184,,,0.120,,,,,,,,
51.277,1.189,,,0.130,,,,,,,,
61.27 6,1.203,,,0.135,,,,,,,,
71.278,1.212,,,0.140,,,,,,,,
"81,280",1.222,,,0.143,,,,,,,,
91.299,"1,230",,,0.145,,,,,,,,
101.299,1.231,,,0.145,,,,,,,,
111.237,1.220,,,0.147,,,,,,,,
12  1.189,1.212,,,0.150,,,,,,,,
131.051,1.197,,,0.155,,,,,,,,
141.487,1.225,,,1.05,,,,,,,,
15  1.301,"1,234",,,1.10,,,,,,,,
16  1.119,1.236,,,1.15,,,,,,,,
171.117,1.243,,,1.15,,,,,,,,
181.116,1.247,,,1.25,,,,,,,,
191.115,1.264,,,1.40,,,,,,,,
201.115,1.271,,,1.45,,,,,,,,
211.115,1.287,,,1.50,,,,,,,,
221.116,1.302,,,1.60,,,,,,,,
231.117,1.329,,,1.90,,,,,,,,
241.118,1.335,,,2.05,,,,,,,,
251.119,1.340,,,2.15,,,,,,,,
26  1.119,1.339,,,2.15,,,,,,,,
27  1.117,1.332,,,2.10,,,,,,,,
281.112,1.331,,,2.05,,,,,,,,
291.112,1.330,,,1.99,,,,,,,,
301.050,1.325,,,1.95,,,,,,,,
